what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663534692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663535942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663536395
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1427663552098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1427663559426
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1427663561234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1427663561797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663561906
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663564082
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663581598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663582528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663651701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663653736
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663653971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663656283
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663657580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663667580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663668924
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663671651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663700986
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663703064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663704668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663725218
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1427663725249
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1427663726593
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1427663744464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1427663751667
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1427663752964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1427663795993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1427663797509
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663803473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663805453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663806406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663808390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663811151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663812745
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663814417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663829140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663844352
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663845899
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663847463
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663856896
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663871906
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663874703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663876781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663884659
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663886445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663888416
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663897147
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427663907098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1427664012890
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1427664014219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664021079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664022251
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664023751
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664033887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664047977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664072340
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427664085311
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427664085717
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427664086092
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427664086732
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427664088592
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1427664089889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1427664094654
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1427664095936
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664098639
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664102944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664105022
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664120183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427664247818
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427664248255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427664248615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427664248943
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1427664305262
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1427664306730
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664323179
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664328565
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664330096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664345468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664351120
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664352307
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664371339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664372605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664374324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664405542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664410231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664492515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664516765
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664517796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664522655
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664537775
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1427664544173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1427664545798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1427664556285
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1427664566050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664574864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664578911
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664581239
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664595032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664609403
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664611278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664612595
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664620566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664650191
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664651816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664653519
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664688385
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664717514
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664718484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664719757
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664720875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664721282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664735141
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664738028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664781290
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664802623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664803482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664804216
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664813322
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1427664856240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1427664857771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664859505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664864146
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664866568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664884216
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1427664891287
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1427664893891
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427664896721
