what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1437777163134
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1437777163134
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1437777163134
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1437777163134
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1437777163134
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1437777163134
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1437777163134
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1437777163134
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1437777163134
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1437777163134
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1437777163134
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1437777163134
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1437777163134
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1437777163150
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1437777163150
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1437777163150
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1437777163150
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1437777163150
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1437777163150
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1437777163150
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1437777163150
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1437777163150
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1437777163150
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1437777163150
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1437777163150
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1437777163150
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1437777163150
os,sysinfo,,,"win32",1437777163150
arch,sysinfo,,,"x86",1437777163150
ws,sysinfo,,,"win32",1437777163150
locale,sysinfo,,,"en_US",1437777163150
processors,sysinfo,,,"4",1437777163150
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1437777163150
java.runtime.version,sysinfo,,,"1.8.0_40-b26",1437777163150
java.specification.name,sysinfo,,,"Java Platform API Specification",1437777163150
java.specification.vendor,sysinfo,,,"Oracle Corporation",1437777163150
java.specification.version,sysinfo,,,"1.8",1437777163150
java.vendor,sysinfo,,,"Oracle Corporation",1437777163150
java.version,sysinfo,,,"1.8.0_40",1437777163150
java.vm.info,sysinfo,,,"mixed mode",1437777163150
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1437777163150
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1437777163150
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1437777163150
java.vm.specification.version,sysinfo,,,"1.8",1437777163150
java.vm.vendor,sysinfo,,,"Oracle Corporation",1437777163150
java.vm.version,sysinfo,,,"25.40-b25",1437777163150
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1437777201942
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1437777204798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437777207110
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1437777222160
